alert_id,timestamp,severity,category,title,user_id,hostname,src_ip,dst_ip,verdict,analyst_notes,closed_at,mitre_tactic
HIST-038,2026-04-07T14:30:00Z,High,Endpoint,Pre-ransomware staging detected,,,10.10.4.15,,True Positive,Cobalt Strike beacon followed by credential harvesting and shadow copy deletion. Contained before encryption. 3 hosts reimaged. INC-2026-067.,2026-04-07T18:00:00Z,Impact
HIST-039,2026-04-17T10:00:00Z,Low,Cloud,CI/CD pipeline new deployment,ci-deploy-prod,AWS-EC2-PROD-02,,,False Positive,Automated deployment of approved release v2.4.1. Change ticket CHG-2026-0389 confirmed.,2026-04-17T10:30:00Z,Execution
HIST-040,2026-04-25T07:00:00Z,Low,Identity,Service account login spike,svc-backup-admin,DC-CORP-01,,,False Positive,Monthly backup job caused expected spike in service account authentication events. Tuned detection threshold.,2026-04-25T07:30:00Z,Privilege Escalation
HIST-041,2026-03-10T08:45:00Z,Medium,Email,Credential phishing link clicked - finance analyst,jsmith,WKSTN-FIN-042,,,True Positive,jsmith clicked link in credential phishing email impersonating Workday HR portal. Credentials entered on phishing page. Password reset and MFA re-enrolled. No account takeover confirmed.,2026-03-10T11:00:00Z,Initial Access
HIST-042,2026-03-14T13:30:00Z,Medium,Email,Vendor invoice fraud attempt - AP manager,mchen,WKSTN-FIN-019,,,True Positive,Convincing vendor impersonation email targeted AP manager with fraudulent ACH change request. Email blocked before action taken. Vendor relationship verified. Sender domain added to blocklist.,2026-03-14T15:00:00Z,Initial Access
HIST-043,2026-03-19T16:00:00Z,Low,DLP,Sensitive salary data accessed outside hours,sjohnson,WKSTN-FIN-011,,,True Positive,Finance analyst accessed compensation reports at 11PM outside approved hours. HR notified given active PIP status. Access logged and reviewed by manager. No exfiltration detected.,2026-03-19T17:00:00Z,Collection
HIST-044,2026-03-22T10:15:00Z,High,Identity,Executive account login from overseas IP,rhayes,LAPTOP-EXEC-001,91.108.56.200,,True Positive,CFO account accessed from Amsterdam IP 4 hours after Charlotte login. Travel not confirmed by EA. Session terminated. Account suspended pending verification. User confirmed account compromise - password reset and MFA re-enrolled.,2026-03-22T13:00:00Z,Initial Access
HIST-045,2026-03-28T09:00:00Z,Low,Endpoint,Unapproved remote access tool installed,bwilson,WKSTN-MKTG-007,,,True Positive,Marketing user installed AnyDesk without IT approval. Remote access tool removed. User counseled on software installation policy. No external connections logged.,2026-03-28T10:30:00Z,Command and Control
HIST-046,2026-04-04T11:30:00Z,High,Identity,Session token hijacked via AiTM phishing,jsmith,WKSTN-FIN-042,185.220.101.45,,True Positive,Advanced AiTM phishing captured jsmith session token. Attacker accessed email and SharePoint for 18 minutes before detection. All tokens revoked. Email audit completed - no sensitive data forwarded. INC-2026-058.,2026-04-04T14:30:00Z,Credential Access
HIST-047,2026-04-09T14:00:00Z,Low,DLP,Financial model emailed to personal account,mchen,WKSTN-FIN-019,,,True Positive,AP manager forwarded Q1 variance model to personal Gmail for weekend review. Policy violation documented. Manager notified. Confirmed accidental - no malicious intent. User completed DLP training.,2026-04-09T15:00:00Z,Exfiltration
HIST-048,2026-04-16T10:00:00Z,Medium,Email,Spear phishing targeting accounts payable,lmartinez,WKSTN-FIN-028,,,True Positive,Highly targeted BEC email impersonating CFO requesting urgent wire transfer of $89k. AP specialist escalated to manager before acting. Email forensics confirmed spoofed domain. Sender blocked.,2026-04-16T12:00:00Z,Initial Access
HIST-049,2026-04-21T15:30:00Z,Medium,Endpoint,Keylogger detected on finance workstation,sjohnson,WKSTN-FIN-011,,,True Positive,Commercial keylogger (Spyrix) found on sjohnson workstation - installed via macro in received document. Keylogger removed. Browser credentials rotated. Workstation reimaged. INC-2026-071.,2026-04-21T19:00:00Z,Collection
HIST-050,2026-04-26T09:30:00Z,Low,Network,After-hours VPN access from new location,jsmith,WKSTN-FIN-042,203.0.113.55,,False Positive,VPN login from Charlotte residential ISP at 11PM. User confirmed working late on month-end close reports. IP verified as residential. Manager approved overtime.,2026-04-26T10:00:00Z,Initial Access
HIST-051,2026-04-29T13:00:00Z,Medium,Identity,Impossible travel - repeated attempt,rhayes,LAPTOP-EXEC-001,185.234.219.8,,True Positive,Second impossible travel alert for CFO this month. Login from Lagos Nigeria 6 minutes after Charlotte office badge-in. Account suspended. Forensics confirmed credential reuse from HIST-044 breach. All sessions revoked. INC-2026-079.,2026-04-29T15:30:00Z,Initial Access
HIST-052,2026-05-04T10:30:00Z,Low,Endpoint,USB storage connected - marketing workstation,bwilson,WKSTN-MKTG-007,,,True Positive,Personal USB drive connected and 340MB transferred in 4 minutes. Files identified as marketing campaign assets - not sensitive. Policy violation documented. USB devices now blocked on WKSTN-MKTG-007.,2026-05-04T11:30:00Z,Exfiltration
HIST-053,2026-05-07T09:00:00Z,High,Identity,Credential stuffing - AP manager account,mchen,WKSTN-FIN-019,91.108.4.0,,True Positive,Automated credential stuffing attack targeted mchen account. 847 attempts from rotating IPs over 2 hours. 1 successful login detected before MFA blocked further access. Password reset. Geo-blocking applied to high-risk regions. INC-2026-091.,2026-05-07T12:00:00Z,Credential Access
HIST-054,2026-05-09T16:00:00Z,Medium,DLP,Source code pushed to public repository,ptran,WKSTN-DEV-022,,,True Positive,DevOps engineer accidentally pushed internal API keys and configuration files to public GitHub repo. Repo made private within 8 minutes of detection. Keys rotated. Secrets scanner added to CI pipeline.,2026-05-09T18:00:00Z,Exfiltration
HIST-055,2026-05-11T11:00:00Z,Low,Email,Phishing simulation - low click rate,rhayes,LAPTOP-EXEC-001,,,False Positive,Monthly internal phishing simulation. CFO did not click. Awareness training reinforced. No action required.,2026-05-11T11:30:00Z,Initial Access
